Model,Loss,MAE,RMSE,MAPE,R2,Directional_Acc
GRU+Huber,Huber,16.699569482940188,20.679861240106586,11.213512297677786,-0.9230839341343366,0.5967741935483871
LSTM+Huber,Huber,16.375207246805395,21.250827274657883,11.208557431211158,-1.0307416760824388,0.6451612903225806
CNN+LSTM(ReLU)+Huber,Huber,18.32006539587987,21.54171068484937,12.067974460871232,-1.0867161469208906,0.5483870967741935
