Model,Loss,MAE,RMSE,MAPE,R2,Directional_Acc
LSTM,logcosh,15.705813591826907,19.776053001792345,10.760485386798534,-0.7586614086188783,0.5806451612903226
CNN+LSTM(KAN),logcosh,54.48850737160507,56.393324524725564,34.68487042983546,-13.300736188441602,0.5161290322580645
GRU,logcosh,60.18143362833864,62.53213928655052,38.33347587229099,-16.58367192581724,0.5161290322580645
