Model,Loss,MAE,RMSE,MAPE,R2,Directional_Acc
LSTM,logcosh,25.03310843534989,29.19911671407281,16.474681971446874,-2.8339145319186394,0.5483870967741935
GRU,logcosh,26.86528145407655,30.269042878965223,17.120152417704194,-3.1200299789620622,0.532258064516129
CNN+LSTM(Sigmoid),logcosh,48.7650260641139,50.85848747479756,30.942250930891756,-10.631343438181077,0.532258064516129
