Model,Loss,MAE,RMSE,MAPE,R2,Directional_Acc
GRU,logcosh,14.555097434118993,18.531275369245044,10.029321683137855,-0.5442358059827699,0.5967741935483871
LSTM,logcosh,21.544762643685345,25.692524065501654,13.824082744937666,-1.968359810811136,0.5645161290322581
CNN+LSTM(ReLU),logcosh,35.64477844842275,37.99694220507604,22.633958611307396,-5.492325649375835,0.532258064516129
