Model,Loss,MAE,RMSE,MAPE,R2,Directional_Acc
GRU,pinball_tau=0.5,37.04091187127431,39.595927441539274,23.467974477469188,-6.050242227934343,0.532258064516129
CNN+LSTM,pinball_tau=0.5,40.157863598372344,42.79108068548043,25.48291745438227,-7.233974323368468,0.532258064516129
LSTM,pinball_tau=0.5,58.94425331473605,60.99972771986813,37.53341674485489,-15.732421336518247,0.5161290322580645
