Model,MAE,RMSE,MAPE,R2,Directional_Acc
CNN+LSTM,19.868905622628063,22.988436998668664,12.92010795099244,-1.3764128249523804,0.5645161290322581
LSTM,19.372479339314683,23.41992390845904,12.599414421020427,-1.4664593284251728,0.5967741935483871
GRU,25.090633040443546,29.472512783730128,16.942307135419117,-2.9060457748744324,0.5161290322580645
