Model,MAE,RMSE,R2,Directional_Acc
GRU,24.885365773403624,28.247255881240555,-2.5281336342382996,0.5522388059701493
LSTM,34.387866555405026,36.85701987860851,-5.006658369747864,0.5223880597014925
CNN+LSTM,55.786428588747256,60.371811893200736,-15.116135816924434,0.4925373134328358
