Model,Loss,MAE,RMSE,MAPE,R2,Directional_Acc
LSTM+Huber,Huber,11.313494595262586,15.001780936296557,7.841374432708356,-0.012018933735592263,0.6774193548387096
GRU+Huber,Huber,23.502955571981072,27.058064554938184,15.150325352946522,-2.2922776681160104,0.5645161290322581
CNN+LSTM(Sigmoid)+Huber,Huber,51.062855722868306,53.13451004434363,32.42408476291242,-11.695691466261927,0.532258064516129
