Model,Loss,MAE,RMSE,MAPE,R2,Directional_Acc
LSTM,huber,11.855422342562509,15.31135810905112,8.014791623443218,-0.05421799988354015,0.6774193548387096
CNN+LSTM,huber,14.067458969845127,20.95393952152318,10.19060587224942,-0.9743964939784318,0.7096774193548387
GRU,huber,36.795856078250424,38.78613814081841,23.36539270831729,-5.764817406840488,0.532258064516129
