Model,Loss,MAE,RMSE,MAPE,R2,Directional_Acc
GRU+Huber,Huber,16.24455455381658,19.72898143489479,10.742758241796611,-0.7502993328412235,0.6129032258064516
LSTM+Huber,Huber,36.58893247220306,40.110259707591624,23.244490551844056,-6.234590386440263,0.532258064516129
CNN+LSTM(KAN)+Huber,Huber,44.50803790788752,46.8622810426127,28.22177269284067,-8.87528975921286,0.5161290322580645
