Model,Loss,MAE,RMSE,MAPE,R2,Directional_Acc
CNN+LSTM,log-cosh,15.844013767205444,19.474464790693823,10.434045609224274,-0.705430638361602,0.5967741935483871
GRU,log-cosh,28.99441401180863,32.1360419100302,19.169409293838417,-3.6439525023471386,0.5483870967741935
LSTM,log-cosh,32.800295618585054,35.64015939945854,20.90832998781445,-4.711922081748553,0.532258064516129
