Model,MAE,RMSE,MAPE,R2,best_lr
ReLU+Huber_lr0.00075,27.639420890695302,29.80085430321852,17.529880979302654,-2.99356196460671,0.00075
Sigmoid+Huber_lr0.00125,50.45878069097252,52.534088712725044,32.0347797814406,-11.410389305573313,0.00125
KAN+Huber_lr0.001,48.58177589282169,50.69124720144344,30.856987895466347,-10.554973461015319,0.001
